sku,name,category,type,short_description,description,specs,brand,pack_size,image,featured,keywords
AP-G100LA,AirPeak™ G100-LA Low-Speed Handpiece,Handpieces,Low-Speed Handpiece,1:1 low-speed push-button contra-angle handpiece.,"The AirPeak™ G100-LA is a 1:1 low-speed push-button contra-angle handpiece running at 20,000 RPM for finishing, polishing and operative procedures.","Air-driven low-speed; 1:1 ratio; 20,000 RPM; push-button contra-angle",AirPeak,1/pk,AP-G100LA.jpg,,"low speed handpiece, contra angle, 1:1 handpiece, airpeak g100, slow speed handpiece"
AP-X600-45,"AirPeak™ X600-45 Surgical Handpiece (KaVo-Style, 45°)",Handpieces,Surgical Handpiece,45° surgical high-speed handpiece for improved access.,"The AirPeak™ X600-45 surgical push-button handpiece features a 45° angled head that improves access and visibility for surgical extractions and the removal of impacted teeth, venting exhaust away from the surgical site.",Air-driven surgical high-speed; KaVo-style; 45° angled head; push-button chuck,AirPeak,1/pk,AP-X600-45.jpg,,"surgical handpiece, 45 degree handpiece, oral surgery handpiece, airpeak x600-45, impacted tooth handpiece"
AM0004,MK Dent Air Motor,Handpieces,Air Motor,MK Dent E-type air motor.,MK Dent air motor (AM0004) for driving E-type slow-speed attachments.,,Flight Dental Systems,,AM0004.jpg,,"air motor, MK Dent, E-type, slow speed, AM0004"
F-411CA,Slow Speed Air Motor (E-Type),Handpieces,Air Motor,Flight E-type slow-speed air motor.,Flight E-type slow-speed air motor for driving contra angle and nose cone attachments.,,Flight Dental Systems,,F-411CA.jpg,,"air motor, slow speed, E-type, Flight"
LE11,1:1 Blue Ring Contra Angle,Handpieces,Contra Angle,1:1 blue-ring contra angle (Classic Line).,MK Dent 1:1 blue-ring contra angle handpiece for standard slow-speed applications.,Ratio 1:1,Flight Dental Systems,,LE11.jpg,,"contra angle, 1:1, blue ring, MK Dent, LE11"
LE15L,1:5 Red Ring Contra Angle,Handpieces,Contra Angle,1:5 red-ring speed-increasing contra angle with light.,MK Dent ECO Line 1:5 red-ring speed-increasing contra angle with optic for high-precision restorative work.,Ratio 1:5 | Optic/light,Flight Dental Systems,,LE15L.jpg,,"contra angle, 1:5, red ring, speed increasing, MK Dent, LE15L"
F-416BM,One Piece Contra Angles (E-Type),Handpieces,Contra Angle,Flight E-type one-piece slow-speed contra angle.,Flight E-type one-piece contra angle for slow-speed procedures.,,Flight Dental Systems,,F-416BM.jpg,,"contra angle, one piece, E-type, slow speed"
MKDK,MK Dent Kavo Style Quick Coupler,Handpieces,Coupler,MK Dent KaVo-style quick coupler.,MK Dent quick coupler with KaVo-style connection for compatible high-speed handpieces.,,Flight Dental Systems,,MKDK.jpg,,"quick coupler, KaVo style, MK Dent, handpiece coupler"
EM-9001,Flight Electric Motor System,Handpieces,Electric Motor System,Brushless electric micromotor system.,Flight electric motor system providing consistent torque and speed for electric handpiece attachments.,,Flight Dental Systems,,EM-9001.jpg,,"electric motor, micromotor, electric handpiece, brushless"
MKECO,MK Dent ECO Line High Speed Handpiece,Handpieces,High-Speed Handpiece,MK Dent ECO Line high-speed handpiece (Germany).,"German-made MK Dent ECO Line high-speed handpiece, sold exclusively through Flight Dental Systems.",,Flight Dental Systems,,MKECO.jpg,,"high speed handpiece, MK Dent, ECO Line, German handpiece"
MKLUBE,MK Dent Premium Synthetic Handpiece Lubricant,Handpieces,Maintenance,Premium synthetic handpiece lubricant.,MK Dent premium synthetic lubricant for routine handpiece maintenance.,,Flight Dental Systems,,MKLUBE.jpg,,"handpiece lubricant, synthetic oil, MK Dent, maintenance"
FLMAIN,Automatic Handpiece Maintenance System,Handpieces,Maintenance System,Automatic handpiece cleaning and lubrication system.,Automatic maintenance system that cleans and lubricates handpieces to extend their service life.,,Flight Dental Systems,,FLMAIN.jpg,,"handpiece maintenance, automatic lubrication, cleaning, care system"
F-415BZ,Straight Nose Cone (E-Type),Handpieces,Nose Cone,Flight E-type straight nose cone.,Flight E-type straight nose cone attachment for slow-speed straight handpieces.,,Flight Dental Systems,,F-415BZ.jpg,,"nose cone, straight, E-type, slow speed"
F-160,45 Degree Surgical Handpiece,Handpieces,Surgical Handpiece,45-degree surgical high-speed handpiece (Bold Series).,Flight Bold Series 45-degree surgical handpiece (F-160) designed for oral surgery with rear exhaust.,45 degree head,Flight Dental Systems,,F-160.jpg,,"surgical handpiece, 45 degree, Bold Series, F-160"
WHICAM3W,Whicam Story 3 Intraoral Camera - Wired,Imaging,Intraoral Camera,Wired intraoral camera.,Whicam Story 3 wired intraoral camera for chairside patient imaging.,Wired,Flight Dental Systems,,WHICAM3W.jpg,,"intraoral camera, wired camera, Whicam Story 3, dental imaging"
WHICAM3,Whicam Story 3 Wireless Intraoral Camera,Imaging,Intraoral Camera,Wireless intraoral camera.,Whicam Story 3 wireless intraoral camera for chairside patient imaging and education.,Wireless,Flight Dental Systems,,WHICAM3.jpg,,"intraoral camera, wireless camera, Whicam Story 3, dental imaging"
IVIEW,iView Camera and Light,Imaging,Intraoral Camera + Light,Combined intraoral camera and light head.,iView combined intraoral camera and light unit that integrates imaging into the operatory light.,,Flight Dental Systems,,IVIEW.jpg,,"intraoral camera, camera and light, iView, dental imaging"
X-VISION,X-Vision Handheld Portable X-Ray,Imaging,Portable X-Ray,Health Canada-licensed handheld portable dental X-ray.,"X-Vision handheld portable X-ray unit, Health Canada licensed, for point-of-care intraoral radiography.",Handheld | Health Canada licensed,Flight Dental Systems,,X-VISION.jpg,,"handheld x-ray, portable x-ray, dental imaging, X-Vision"
XPROCEPH,I-Max 3D XPRO Ceph,Imaging,3D CBCT + Cephalometric X-ray,I-Max 3D XPRO with CBCT and cephalometric imaging.,"Owandy I-Max 3D XPRO Ceph all-in-one system combining 2D panoramic, 3D CBCT and cephalometric imaging in a single unit for comprehensive diagnostics and orthodontic planning.",,Owandy,,XPROCEPH.jpg,,"CBCT ceph, 3D imaging, cephalometric, Owandy I-Max 3D XPRO, cone beam"
XPRO,I-Max 3D XPRO,Imaging,3D CBCT / Panoramic,I-Max 3D XPRO panoramic and CBCT imaging system.,"Owandy I-Max 3D XPRO combined 2D panoramic and 3D cone-beam CT (CBCT) system, delivering both panoramic radiographs and volumetric 3D imaging for implant, endodontic and surgical planning.",,Owandy,,XPRO.jpg,,"CBCT, 3D dental x-ray, cone beam, Owandy I-Max 3D XPRO, panoramic"
CAMHD,OwandyCam HD,Imaging,Intraoral Camera,OwandyCam HD intraoral camera.,"Owandy OwandyCam HD intraoral camera delivering high-definition chairside images for diagnosis and patient education, with an ergonomic handpiece for easy intraoral positioning.",,Owandy,,CAMHD.jpg,,"intraoral camera, HD dental camera, OwandyCam, patient education, imaging"
